"19,3. Your Love ft. D Black & Efosa Prod. By Snake & ATM.mp3,unknown,3_your_love_ft_d_black_efosa_prod_by_snake_atmmp3,bpm=139.1,key=F#,scale=minor,energy=0.324727147818,happy=0.61027738153934,sad=0.72593265175819,aggressiveness=0.13227541875094,danceability=0.99828237295151,relaxed=0.49301261007786"
"20,Awu-YAYAYO_CRITIQSITE.COM_.mp3,unknown,awu_yayayo_critiqsitecommp3,bpm=140,key=F,scale=major,energy=0.16384087503,happy=0.87452927976847,sad=0.66323255002499,aggressiveness=0.036551674362272,danceability=0.99980308115482,relaxed=0.71342089027166"
"21,Aya_Nakamura_-_Doudou_(Clip_officiel).mp3,basshall,aya_nakamura_doudou_clip_officielmp3,bpm=97.7,key=A,scale=major,energy=0.417434960604,happy=0.87967487743923,sad=0.61107941610473,aggressiveness=0.24318731975343,danceability=0.89081295686109,relaxed=0.46506420203618"
"22,Odunsi-The-Engine-Wetin-Dey.mp3,unknown,odunsi_the_engine_wetin_deymp3,bpm=95.9,key=A#,scale=major,energy=0.752088308334,happy=0.48742931087812,sad=0.93156037727992,aggressiveness=0.13811089843512,danceability=0.99995426336924,relaxed=0.5100644826889"
"23,Aya_Nakamura_-_Doudou_(Clip_officiel)(1).mp3,basshall,aya_nakamura_doudou_clip_officiel1mp3,bpm=97.7,key=A,scale=major,energy=0.417434960604,happy=0.87967487743923,sad=0.61107941610473,aggressiveness=0.24318731975343,danceability=0.89081295686109,relaxed=0.46506420203618"
"24,DJ Serg & Jishay - King Of Afrika.mp3,unknown,dj_serg_jishay_king_of_afrikamp3,bpm=101.5,key=A#,scale=minor,energy=0.300213158131,happy=0.60263528674841,sad=0.37354086978095,aggressiveness=0.59450693069292,danceability=0.91754058854921,relaxed=0.38676246149199"
"25,Love Song (Dao Remix).mp3,unknown,love_song_dao_remixmp3,bpm=155,key=D,scale=minor,energy=0.326422810555,happy=0.6441452325671,sad=0.81139427423477,aggressiveness=0.01186828428763,danceability=0.97271217405796,relaxed=0.55816994607449"
"26,05 Radar (feat_ Big Zeeks & Sweetie Irie).mp3,afro dancehall,05_radar_feat_big_zeeks_sweetie_iriemp3,bpm=105,key=G,scale=minor,energy=0.400634229183,happy=0.59566143601842,sad=0.56129263155162,aggressiveness=0.30885925889015,danceability=0.94209729880095,relaxed=0.48038201406598"
"27,Nelson_Freitas_-_Bolo_Ku_Pudim_(Wef_Remix).mp3,uk drill,nelson_freitas_bolo_ku_pudim_wef_remixmp3,bpm=100,key=F,scale=minor,energy=0.283199131489,happy=0.57033865029613,sad=0.54790879454878,aggressiveness=0.14620293718245,danceability=0.89120355703764,relaxed=0.49949037035306"
"28,esentrik - No Guidance (esentrik edit).mp3,uk drill,esentrik_no_guidance_esentrik_editmp3,bpm=95,key=F#,scale=minor,energy=0.245167315006,happy=0.57109344303608,sad=0.82569081783295,aggressiveness=0.14392022150569,danceability=0.92399944663048,relaxed=0.5069193392992"
"29,LukeR - 09 Banana.mp3,uk drill,luker_09_bananamp3,bpm=98,key=F,scale=minor,energy=0.311313480139,happy=0.7472241696436,sad=0.70418328046799,aggressiveness=0.059771949891001,danceability=0.93975071310997,relaxed=0.50784345269203"
"30,Jenevieve x BENZIBOY - Tell Me (Remix).mp3,alternative r&b,jenevieve_x_benziboy_tell_me_remixmp3,bpm=98,key=A#,scale=minor,energy=0.507668435574,happy=0.65928285462516,sad=0.54058827672686,aggressiveness=0.11517721474437,danceability=0.99999982970101,relaxed=0.53187069296837"
"31,Love Me Like (feat. DUCKWRTH) [prod. by Lawrence Mace].mp3,alternative r&b,love_me_like_feat_duckwrth_prod_by_lawrence_macemp3,bpm=118,key=F,scale=minor,energy=0.287692129612,happy=0.54280690156988,sad=0.70296123198101,aggressiveness=0.056102631680135,danceability=0.84697095517601,relaxed=0.79019384724753"
"32,Major_Lazer_feat._BEAM_&_Shenseea_-_Tiny_(Official_Lyric_Video).mp3,unknown,major_lazer_feat_beam_shenseea_tiny_official_lyric_videomp3,bpm=114.5,key=C#,scale=minor,energy=0.543308138847,happy=0.56903779502803,sad=0.64396992325783,aggressiveness=0.096497432949642,danceability=0.8487591875924,relaxed=0.50422581699159"
"33,Eugy-LoLo-Prod.-Spanker.mp3,afro dancehall,eugy_lolo_prod_spankermp3,bpm=94,key=C#,scale=major,energy=0.222879767418,happy=0.59342920354434,sad=0.77060584085328,aggressiveness=0.13913237888898,danceability=0.87912181658404,relaxed=0.50251173121589"
"34,Lyta_-_Monalisa-tooXclusive_.mp3,nigerian pop,lyta_monalisa_tooxclusivemp3,bpm=90,key=E,scale=minor,energy=0.204526290298,happy=0.56646779552102,sad=0.93804946541786,aggressiveness=0.057674411218613,danceability=0.60053232405335,relaxed=0.71651246398687"
"35,Amber_Mark_-_Thong_Song_(Sisqo_Cover)_ _COVERED-19_SERIES.mp3,alternative r&b,amber_mark_thong_song_sisqo_cover_covered_19_seriesmp3,bpm=97.5,key=C#,scale=minor,energy=0.248250290751,happy=0.54183268772128,sad=0.83512259191937,aggressiveness=0.078671274913682,danceability=0.73788332690795,relaxed=0.71718700064553"
"36,Msabato - Cheap WWW.MIKATOJUNIOR.COM.mp3,unknown,msabato_cheap_wwwmikatojuniorcommp3,bpm=107,key=C#,scale=minor,energy=0.256999224424,happy=0.74405374261551,sad=0.74617547222546,aggressiveness=0.076282076271517,danceability=0.90927690267563,relaxed=0.67883886184011"
"37,01.Kuyashisa ft Tylericu,Dj Thabzin & Kheada(1).mp3,afro soul,01kuyashisa_ft_tylericudj_thabzin_kheada1mp3,bpm=112,key=A#,scale=minor,energy=0.876401722431,happy=0.63284819722176,sad=0.82750476996104,aggressiveness=0.12451409809291,danceability=0.91509152688086,relaxed=0.49604701598485"
"38,AYY MACARENA - TYGA X JUANFRAN LA CLAVE REMIX.mp3,uk drill,ayy_macarena_tyga_x_juanfran_la_clave_remixmp3,bpm=100,key=D,scale=minor,energy=0.201478838921,happy=0.21531336009502,sad=0.92120477557182,aggressiveness=0.22824515402317,danceability=0.9604512155056,relaxed=0.54309539496899"
